country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,Continente
Russian Federation,247,326,73,11.5,Europa
Rwanda,43,2,0,6.8,Africa
St. Kitts & Nevis,194,205,32,7.7,America
St. Lucia,171,315,71,10.1,America
St. Vincent & the Grenadines,120,221,11,6.3,America
Samoa,105,18,24,2.6,Oceania
San Marino,0,0,0,0.0,Europa
Sao Tome & Principe,56,38,140,4.2,Africa
Saudi Arabia,0,5,0,0.1,Asia
Senegal,9,1,7,0.3,Africa
Serbia,283,131,127,9.6,Europa
Seychelles,157,25,51,4.1,Africa
Sierra Leone,25,3,2,6.7,Africa
Singapore,60,12,11,1.5,Asia
Slovakia,196,293,116,11.4,Europa
Slovenia,270,51,276,10.6,Europa
Solomon Islands,56,11,1,1.2,Oceania
Somalia,0,0,0,0.0,Africa
South Africa,225,76,81,8.2,Africa
Spain,284,157,112,10.0,Europa
Sri Lanka,16,104,0,2.2,Asia
Sudan,8,13,0,1.7,Africa
Suriname,128,178,7,5.6,America
Swaziland,90,2,2,4.7,Africa
Sweden,152,60,186,7.2,Europa
Switzerland,185,100,280,10.2,Europa
Syria,5,35,16,1.0,Asia
Tajikistan,2,15,0,0.3,Asia
Thailand,99,258,1,6.4,Asia
Macedonia,106,27,86,3.9,Europa
Timor-Leste,1,1,4,0.1,Asia
Togo,36,2,19,1.3,Africa
Tonga,36,21,5,1.1,Oceania
Trinidad & Tobago,197,156,7,6.4,America
Tunisia,51,3,20,1.3,Africa
Turkey,51,22,7,1.4,Asia
Turkmenistan,19,71,32,2.2,Asia
Tuvalu,6,41,9,1.0,Oceania
Uganda,45,9,0,8.3,Europa
Ukraine,206,237,45,8.9,Africa
United Arab Emirates,16,135,5,2.8,America
United Kingdom,219,126,195,10.4,Europa
Tanzania,36,6,1,5.7,Africa
USA,249,158,84,8.7,America
Uruguay,115,35,220,6.6,America
Uzbekistan,25,101,8,2.4,Asia
Vanuatu,21,18,11,0.9,Oceania
Venezuela,333,100,3,7.7,America
Vietnam,111,2,1,2.0,Asia
Yemen,6,0,0,0.1,Asia
Zambia,32,19,4,2.5,Africa
Zimbabwe,64,18,4,4.7,Africa
